message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,payment,BERT Context Engine: Financial transaction notice (similarity: 0.49).,0.88,message_0243;message_0102
msg_091,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0238;message_0381
msg_090,digest,business_update,BERT Context Engine: Business notification update (similarity: 0.48).,0.86,message_0339;message_0338
msg_048,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0151;message_0152
msg_040,mute,greeting,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0136;message_0135
msg_075,notify,business_update,BERT Context Engine: Business notification update (similarity: 0.39).,0.86,message_0206;message_0205
msg_005,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0065;message_0332
msg_104,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0050;message_0383
msg_069,mute,greeting,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0194;message_0193
msg_107,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0173;message_0213
msg_070,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0369;message_0213
msg_003,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0031;message_0400
msg_099,digest,personal,BERT Context Engine: Personal 1-on-1 message.,0.85,message_0227;message_0249
msg_008,digest,business_update,BERT Context Engine: Business notification update (similarity: 0.17).,0.86,message_0072;message_0071
msg_092,digest,payment,BERT Context Engine: Financial transaction notice (similarity: 0.51).,0.88,message_0346;message_0344
msg_060,notify,urgent,BERT Context Engine: Urgent event detected (similarity: 0.24).,0.54,message_0176;message_0284
msg_004,notify,event,BERT Context Engine: Business notification update (similarity: 0.48).,0.86,message_0246;message_0245
msg_030,digest,promotion,Structural co-occurrence of selling verb with price or logistics phrasing.,0.88,message_0115;message_0050
msg_045,digest,business_update,BERT Context Engine: Business notification update (similarity: 0.51).,0.86,message_0371;message_0230
msg_052,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0208;message_0207
msg_009,mute,personal,Group is muted by user preferences.,0.84,message_0074;message_0073
msg_071,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0197;message_0198
msg_016,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0087;message_0024
msg_065,digest,promotion,Promotional Policy Guard: Verified business promotion routed to daily digest.,0.82,message_0261;message_0260
msg_038,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0131;message_0132
msg_086,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0249;message_0222
msg_014,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0017;message_0258
msg_094,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0356;message_0048
msg_029,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0095;message_0332
msg_105,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0233;message_0373
msg_002,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0169;message_0266
msg_010,digest,business_update,BERT Context Engine: Business notification update (similarity: 0.21).,0.86,message_0011;message_0242
msg_078,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0211;message_0212
msg_013,mute,promotion,Promotional Policy Guard: Cold marketing offer or unverified business promotion muted.,0.85,message_0081;message_0082
msg_018,mute,forward,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0092;message_0026
msg_044,digest,business_update,Status-progression update downgraded to digest due to recent duplicate notification refire.,0.8,message_0036;message_0143
msg_032,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0285;message_0119
msg_106,digest,event,BERT Context Engine: Scheduled event or community notice (similarity: 0.33).,0.85,message_0234;message_0376
msg_006,digest,personal,BERT Context Engine: Standard group message.,0.8,message_0271;message_0029
msg_109,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0151;message_0152
msg_108,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0094;message_0093
msg_019,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0275;message_0277
msg_088,digest,personal,Media Attachment Fallback: Classified via relational context (API inactive). Confidence capped.,0.62,message_0115;message_0050
msg_056,notify,personal,Direct mention targeting user overrides muted group preferences.,0.9,message_0226;message_0077
msg_027,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0272;message_0033
msg_050,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0279;message_0278
msg_083,digest,personal,Media Attachment Fallback: Classified via relational context (API inactive). Confidence capped.,0.62,message_0219
msg_063,mute,scam,"Security Policy Guard: Malicious phishing, credential theft, or prompt injection detected.",0.98,message_0254;message_0255
msg_033,digest,greeting,BERT Context Engine: Courtesy greeting or wish (similarity: 0.44).,0.82,message_0409;message_0121
msg_061,mute,greeting,Security Policy Guard: Viral forward chain pattern detected.,0.88,message_0193;message_0194
